"","location","long","lat"
"1","강원","127.729829010354","37.8853257858209"
"2","경기","127.00892996953","37.2749769872425"
"3","경남","128.69189688916","35.2377742104522"
"4","경북","128.505799325382","36.5759998289197"
"5","광주","127.255138719721","37.4293941934866"
"6","광주","126.851638736307","35.1601037734189"
"7","대구","128.601805491072","35.8713802646197"
"8","대전","127.38483484675","36.3505388992836"
"9","부산","129.075087492149","35.1798200522868"
"10","서울","126.978656785931","37.5668260054796"
"11","세종","127.289195338093","36.4800685159754"
"12","울산","129.311467815675","35.5394791854502"
"13","인천","126.705267083529","37.4560116962015"
"14","전남","126.462788333376","34.8160821478848"
"15","전북","127.108976712011","35.8201963639272"
"16","제주","126.498233486741","33.4889107081162"
"17","충남","126.672776193822","36.6588292532864"
"18","충북","127.491457326501","36.6353581959954"
